purchase_id,purchase_timestamp,delivery_timestamp,delivery_company
20001,2021-01-07T08:13:32,2021-01-10T17:01:58.118577,360
20002,2021-01-02T02:07:38,2021-01-04T06:44:02.125108,516
20003,2021-01-03T17:26:51,2021-01-07T19:23:07.707973,360
20004,2021-01-05T17:16:55,2021-01-07T15:21:38.391150,516
20005,2021-01-05T14:40:06,2021-01-08T13:15:22.984316,
20006,2021-01-07T14:35:53,2021-01-10T08:09:09.974023,620
20007,2021-01-05T02:15:38,2021-01-06T23:55:54.533213,516
20008,2021-01-05T23:19:45,2021-01-09T13:37:58.489198,360
20009,2021-01-02T13:18:23,,516
20010,2021-01-03T15:57:08,2021-01-05T16:27:48.388281,620
20011,2021-01-03T08:00:12,2021-01-06T13:31:28.463356,360
20012,2021-01-06T07:42:33,,
20013,2021-01-04T12:53:40,2021-01-06T15:19:20.840981,516
20014,2021-01-03T18:25:17,2021-01-06T05:07:10.084896,620
20015,2021-01-08T10:25:16,2021-01-10T16:03:32.598478,620
20016,2021-01-08T01:57:33,2021-01-11T00:32:21.758605,516
20017,2021-01-05T17:16:20,2021-01-08T07:55:41.527286,516
20018,2021-01-01T15:46:09,2021-01-04T07:43:39.854233,516
20019,2021-01-05T14:36:21,2021-01-09T04:04:12.344035,360
20020,2021-01-04T19:10:02,2021-01-07T13:56:52.838193,516
20021,2021-01-02T02:55:08,2021-01-04T04:26:41.312821,516
20022,2021-01-06T04:29:53,2021-01-08T17:55:47.922404,516
20023,2021-01-01T10:54:09,2021-01-05T07:57:31.004243,360
20024,2021-01-02T01:31:28,,620
20025,2021-01-04T15:12:17,2021-01-06T16:20:02.954829,516
20026,2021-01-04T06:09:49,2021-01-07T08:18:41.447418,360
20027,2021-01-02T02:08:55,2021-01-04T14:25:50.959243,516
20028,2021-01-02T21:26:42,2021-01-05T10:56:57.093640,
20029,2021-01-08T05:06:20,2021-01-11T11:09:43.903754,360
20030,2021-01-05T22:50:33,2021-01-08T13:10:20.569855,620
20031,2021-01-04T01:36:27,2021-01-06T17:10:15.209128,516
20032,2021-01-01T09:17:42,2021-01-04T19:35:01.900928,360
20033,2021-01-06T01:19:14,2021-01-08T22:13:02.108268,516
20034,2021-01-01T22:35:22,2021-01-04T12:29:41.627503,620
20035,2021-01-08T02:44:25,2021-01-10T21:41:25.396567,620
20036,2021-01-03T11:42:27,2021-01-07T01:55:04.051450,360
20037,2021-01-05T16:27:27,2021-01-09T01:57:07.115896,360
20038,2021-01-07T13:18:50,2021-01-10T11:03:27.697383,620
20039,2021-01-03T08:10:32,2021-01-06T14:22:36.037928,
20040,2021-01-02T03:58:38,2021-01-04T14:04:28.115816,620
20041,2021-01-08T06:46:48,,360
20042,2021-01-04T12:31:03,2021-01-07T06:28:18.966023,620
20043,2021-01-05T07:16:01,2021-01-09T12:13:44.016600,360
20044,2021-01-08T08:05:43,2021-01-10T19:19:25.599833,620
20045,2021-01-07T05:16:38,2021-01-09T22:10:25.745369,516
20046,2021-01-06T19:23:07,2021-01-09T12:57:55.943392,360
20047,2021-01-02T11:11:36,2021-01-05T06:18:48.532563,620
20048,2021-01-02T09:45:49,2021-01-05T22:46:47.262865,360
20049,2021-01-05T03:12:19,2021-01-07T09:16:16.483845,620
20050,2021-01-01T17:36:53,2021-01-05T09:56:28.273842,360
20051,2021-01-06T08:51:50,2021-01-08T12:58:53.993465,620
20052,2021-01-04T23:05:10,2021-01-07T23:47:03.945451,360
20053,2021-01-06T22:23:44,2021-01-09T13:50:24.598418,516
20054,2021-01-03T17:00:50,2021-01-06T15:48:11.178100,360
20055,2021-01-07T12:36:08,2021-01-09T22:53:21.203124,516
20056,2021-01-08T03:50:35,2021-01-10T07:55:36.292078,620
20057,2021-01-06T02:24:40,2021-01-08T16:52:24.598529,516
20058,2021-01-04T05:24:45,2021-01-06T20:02:28.038899,620
20059,2021-01-04T11:21:35,2021-01-07T15:37:39.643789,360
20060,2021-01-07T09:31:03,2021-01-09T17:20:06.363028,516
20061,2021-01-01T18:46:24,2021-01-04T19:41:36.618013,360
20062,2021-01-04T10:36:45,2021-01-07T02:08:07.096290,516
20063,2021-01-08T01:12:15,2021-01-09T22:16:39.660083,620
20064,2021-01-06T08:27:59,2021-01-08T11:45:36.525136,620
20065,2021-01-03T03:49:42,2021-01-06T13:30:04.842155,360
20066,2021-01-06T13:25:58,,360
20067,2021-01-05T21:07:22,2021-01-08T14:49:22.325250,620
20068,2021-01-06T04:20:16,2021-01-09T06:26:12.586674,620
20069,2021-01-04T00:41:26,2021-01-06T23:06:50.967546,620
20070,2021-01-01T19:07:21,2021-01-04T19:17:42.299483,516
20071,2021-01-01T22:10:09,2021-01-04T16:10:05.467852,516
20072,2021-01-01T07:07:01,2021-01-03T16:48:20.358302,516
20073,2021-01-06T12:17:04,2021-01-09T13:39:15.053848,360
20074,2021-01-07T06:57:01,2021-01-10T15:13:20.585339,360
20075,2021-01-08T08:23:04,2021-01-10T20:54:27.190732,620
20076,2021-01-06T22:15:27,2021-01-10T17:55:19.528438,360
20077,2021-01-04T20:33:04,2021-01-06T18:48:47.339225,516
20078,2021-01-06T04:51:30,2021-01-08T14:46:52.382735,516
20079,2021-01-06T11:18:21,2021-01-09T10:07:35.427983,620
20080,2021-01-04T23:05:42,,360
20081,2021-01-02T18:25:52,2021-01-05T12:50:17.679895,360
20082,2021-01-04T21:12:36,,516
20083,2021-01-03T19:04:57,2021-01-06T05:27:12.209184,620
20084,2021-01-06T12:15:58,2021-01-09T12:23:14.267089,360
20085,2021-01-03T01:31:24,2021-01-05T02:04:28.086183,620
20086,2021-01-04T08:29:49,2021-01-07T23:34:15.742410,360
20087,2021-01-08T02:51:35,2021-01-11T07:12:23.060947,516
20088,2021-01-01T21:30:46,2021-01-05T07:57:29.186215,360
20089,2021-01-07T05:21:16,2021-01-10T05:26:56.922016,516
20090,2021-01-07T02:13:33,2021-01-10T05:12:24.327277,516
20091,2021-01-03T10:38:58,2021-01-06T02:35:18.007163,516
20092,2021-01-01T07:35:49,2021-01-04T08:27:28.246772,360
20093,2021-01-08T01:09:38,2021-01-10T16:35:57.912458,516
20094,2021-01-02T15:31:29,2021-01-04T18:07:52.282016,516
20095,2021-01-07T19:32:06,2021-01-10T07:33:49.856621,620
20096,2021-01-05T06:30:12,2021-01-08T04:09:59.291187,360
20097,2021-01-01T07:44:08,2021-01-06T01:12:07.015647,360
20098,2021-01-01T11:44:21,2021-01-03T02:31:15.780550,516
20099,2021-01-03T12:01:31,2021-01-06T18:01:56.938412,360
20100,2021-01-04T19:58:13,2021-01-07T12:34:13.774232,516
20101,2021-01-01T08:45:21,2021-01-03T16:02:17.679470,620
20102,2021-01-07T16:31:03,2021-01-11T05:04:13.039307,360
20103,2021-01-03T08:15:11,2021-01-07T07:50:31.119235,360
20104,2021-01-02T03:29:52,2021-01-05T08:20:56.338693,620
20105,2021-01-03T19:31:34,2021-01-06T20:11:30.692303,360
20106,2021-01-02T07:46:13,2021-01-04T07:59:12.377471,360
20107,2021-01-04T19:06:59,2021-01-05T06:59:36.417476,516
20108,2021-01-03T20:24:40,2021-01-06T01:11:20.747350,360
20109,2021-01-03T23:52:43,2021-01-06T06:04:41.942555,360
20110,2021-01-06T14:13:08,2021-01-07T19:33:53.289525,620
20111,2021-01-06T03:29:50,2021-01-06T14:40:06.968160,516
20112,2021-01-02T07:40:08,2021-01-03T13:36:04.253804,620
20113,2021-01-06T16:30:45,2021-01-07T02:09:53.819438,516
20114,2021-01-03T10:51:08,2021-01-05T01:19:54.711565,360
20115,2021-01-01T04:49:57,2021-01-02T04:54:46.723354,620
20116,2021-01-04T09:06:23,2021-01-04T16:37:34.233932,516
20117,2021-01-03T16:51:49,2021-01-04T19:31:32.305481,620
20118,2021-01-01T15:15:17,2021-01-03T06:08:04.465357,360
20119,2021-01-01T12:54:51,2021-01-03T21:01:40.589626,360
20120,2021-01-02T23:55:10,2021-01-04T01:19:54.263968,620
20121,2021-01-07T08:44:59,2021-01-09T06:30:38.698986,360
20122,2021-01-05T21:58:13,2021-01-06T21:41:27.870188,620
20123,2021-01-02T17:26:19,2021-01-03T21:31:13.407357,620
20124,2021-01-04T07:40:31,2021-01-06T05:49:46.575154,360
20125,2021-01-01T12:34:16,2021-01-03T08:58:19.495955,620
20126,2021-01-05T05:27:57,2021-01-06T08:48:12.000032,620
20127,2021-01-04T12:22:42,2021-01-06T00:26:01.272096,
20128,2021-01-02T16:02:58,2021-01-03T13:11:40.064848,516
20129,2021-01-05T10:44:11,2021-01-06T21:03:33.510870,360
20130,2021-01-07T04:08:08,2021-01-08T08:24:16.124308,516
20131,2021-01-02T09:07:04,2021-01-03T04:46:30.697733,620
20132,2021-01-01T07:18:49,2021-01-03T00:56:53.596247,360
20133,2021-01-03T06:09:46,2021-01-05T09:00:33.400456,620
20134,2021-01-05T17:02:23,2021-01-06T18:42:24.704500,620
20135,2021-01-08T08:26:06,2021-01-10T13:14:00.487121,360
20136,2021-01-05T18:54:44,2021-01-07T04:25:53.915848,516
20137,2021-01-03T05:08:59,2021-01-04T21:19:12.568968,516
20138,2021-01-03T17:50:28,,516
20139,2021-01-05T00:25:55,2021-01-06T01:54:50.992483,516
20140,2021-01-04T03:13:12,2021-01-06T23:48:26.907891,360
20141,2021-01-07T12:21:58,2021-01-08T11:53:07.953539,516
20142,2021-01-02T11:13:58,2021-01-04T19:35:40.729986,
20143,2021-01-05T15:27:04,2021-01-07T12:37:59.328908,360
20144,2021-01-06T02:51:53,2021-01-08T01:32:25.034505,360
20145,2021-01-07T03:04:21,2021-01-09T04:53:45.490051,360
20146,2021-01-07T14:43:57,2021-01-09T15:52:42.480541,620
20147,2021-01-06T13:24:07,2021-01-08T09:56:06.247844,620
20148,2021-01-06T14:59:09,2021-01-08T12:04:09.613297,620
