purchase_id,delivery_company,purchase_month,purchase_day,purchase_hour,purchase_weekday,delivery_month,delivery_day,delivery_hour,delivery_weekday,shipping_time_in_hours
20001,C360,1,7,8,Thursday,1,10,17,Sunday,80
20002,C516,1,2,2,Saturday,1,4,6,Monday,52
20003,C360,1,3,17,Sunday,1,7,19,Thursday,97
20004,C516,1,5,17,Tuesday,1,7,15,Thursday,46
20006,C620,1,7,14,Thursday,1,10,8,Sunday,65
20007,C516,1,5,2,Tuesday,1,6,23,Wednesday,45
20008,C360,1,5,23,Tuesday,1,9,13,Saturday,86
20010,C620,1,3,15,Sunday,1,5,16,Tuesday,48
20011,C360,1,3,8,Sunday,1,6,13,Wednesday,77
20013,C516,1,4,12,Monday,1,6,15,Wednesday,50
20014,C620,1,3,18,Sunday,1,6,5,Wednesday,58
20015,C620,1,8,10,Friday,1,10,16,Sunday,53
20016,C516,1,8,1,Friday,1,11,0,Monday,70
20017,C516,1,5,17,Tuesday,1,8,7,Friday,62
20018,C516,1,1,15,Friday,1,4,7,Monday,63
20019,C360,1,5,14,Tuesday,1,9,4,Saturday,85
20020,C516,1,4,19,Monday,1,7,13,Thursday,66
20021,C516,1,2,2,Saturday,1,4,4,Monday,49
20022,C516,1,6,4,Wednesday,1,8,17,Friday,61
20023,C360,1,1,10,Friday,1,5,7,Tuesday,93
20025,C516,1,4,15,Monday,1,6,16,Wednesday,49
20026,C360,1,4,6,Monday,1,7,8,Thursday,74
20027,C516,1,2,2,Saturday,1,4,14,Monday,60
20029,C360,1,8,5,Friday,1,11,11,Monday,78
20030,C620,1,5,22,Tuesday,1,8,13,Friday,62
20031,C516,1,4,1,Monday,1,6,17,Wednesday,63
20032,C360,1,1,9,Friday,1,4,19,Monday,82
20033,C516,1,6,1,Wednesday,1,8,22,Friday,68
20034,C620,1,1,22,Friday,1,4,12,Monday,61
20035,C620,1,8,2,Friday,1,10,21,Sunday,66
20036,C360,1,3,11,Sunday,1,7,1,Thursday,86
20037,C360,1,5,16,Tuesday,1,9,1,Saturday,81
20038,C620,1,7,13,Thursday,1,10,11,Sunday,69
20040,C620,1,2,3,Saturday,1,4,14,Monday,58
20042,C620,1,4,12,Monday,1,7,6,Thursday,65
20043,C360,1,5,7,Tuesday,1,9,12,Saturday,100
20044,C620,1,8,8,Friday,1,10,19,Sunday,59
20045,C516,1,7,5,Thursday,1,9,22,Saturday,64
20046,C360,1,6,19,Wednesday,1,9,12,Saturday,65
20047,C620,1,2,11,Saturday,1,5,6,Tuesday,67
20048,C360,1,2,9,Saturday,1,5,22,Tuesday,85
20049,C620,1,5,3,Tuesday,1,7,9,Thursday,54
20050,C360,1,1,17,Friday,1,5,9,Tuesday,88
20051,C620,1,6,8,Wednesday,1,8,12,Friday,52
20052,C360,1,4,23,Monday,1,7,23,Thursday,72
20053,C516,1,6,22,Wednesday,1,9,13,Saturday,63
20054,C360,1,3,17,Sunday,1,6,15,Wednesday,70
20055,C516,1,7,12,Thursday,1,9,22,Saturday,58
20056,C620,1,8,3,Friday,1,10,7,Sunday,52
20057,C516,1,6,2,Wednesday,1,8,16,Friday,62
20058,C620,1,4,5,Monday,1,6,20,Wednesday,62
20059,C360,1,4,11,Monday,1,7,15,Thursday,76
20060,C516,1,7,9,Thursday,1,9,17,Saturday,55
20061,C360,1,1,18,Friday,1,4,19,Monday,72
20062,C516,1,4,10,Monday,1,7,2,Thursday,63
20063,C620,1,8,1,Friday,1,9,22,Saturday,45
20064,C620,1,6,8,Wednesday,1,8,11,Friday,51
20065,C360,1,3,3,Sunday,1,6,13,Wednesday,81
20067,C620,1,5,21,Tuesday,1,8,14,Friday,65
20068,C620,1,6,4,Wednesday,1,9,6,Saturday,74
20069,C620,1,4,0,Monday,1,6,23,Wednesday,70
20070,C516,1,1,19,Friday,1,4,19,Monday,72
20071,C516,1,1,22,Friday,1,4,16,Monday,65
20072,C516,1,1,7,Friday,1,3,16,Sunday,57
20073,C360,1,6,12,Wednesday,1,9,13,Saturday,73
20074,C360,1,7,6,Thursday,1,10,15,Sunday,80
20075,C620,1,8,8,Friday,1,10,20,Sunday,60
20076,C360,1,6,22,Wednesday,1,10,17,Sunday,91
20077,C516,1,4,20,Monday,1,6,18,Wednesday,46
20078,C516,1,6,4,Wednesday,1,8,14,Friday,57
20079,C620,1,6,11,Wednesday,1,9,10,Saturday,70
20081,C360,1,2,18,Saturday,1,5,12,Tuesday,66
